run,random_search,flash_cart
1,0.000993048659384,0.000993048659384
2,0.000993048659384,0.0
3,0.000993048659384,0.0
4,0.000993048659384,0.000993048659384
5,0.000993048659384,0.000993048659384
6,0.000993048659384,0.0
7,0.000993048659384,0.000993048659384
8,0.00297914597815,0.000993048659384
9,0.00198609731877,0.0
10,0.000993048659384,0.000993048659384
11,0.000993048659384,0.000993048659384
12,0.000993048659384,0.000993048659384
13,0.000993048659384,0.00198609731877
14,0.00198609731877,0.000993048659384
15,0.00198609731877,0.000993048659384
16,0.00198609731877,0.000993048659384
17,0.000993048659384,0.0
18,0.000993048659384,0.000993048659384
19,0.000993048659384,0.000993048659384
20,0.000993048659384,0.000993048659384
21,0.000993048659384,0.000993048659384
22,0.000993048659384,0.0
23,0.000993048659384,0.000993048659384
24,0.00198609731877,0.0
25,0.000993048659384,0.000993048659384
26,0.000993048659384,0.0
27,0.000993048659384,0.000993048659384
28,0.000993048659384,0.00198609731877
29,0.00198609731877,0.000993048659384
30,0.000993048659384,0.0
