system,budget,n_configs,best_possible,RS_median,RS_iqr,RS_improv_pct,RS_hits,v6_vs_RS_p,HC_median,HC_iqr,HC_improv_pct,HC_hits,v6_vs_HC_p,SA_median,SA_iqr,SA_improv_pct,SA_hits,v6_vs_SA_p,BestConfig_median,BestConfig_iqr,BestConfig_improv_pct,BestConfig_hits,v6_vs_BestConfig_p,TPE_median,TPE_iqr,TPE_improv_pct,TPE_hits,v6_vs_TPE_p,FLASH-RF_v6_median,FLASH-RF_v6_iqr,FLASH-RF_v6_improv_pct,FLASH-RF_v6_hits
7z,200,68640,4196.4,4410.0,256.75,0.0,0,0.0003510701317768533,4314.1,4801.65,2.1746031746031664,3,0.018961698296664158,4327.4,352.7999999999993,1.8730158730158812,3,0.07313194960093325,4342.4,4590.1,1.5328798185941124,2,0.0003569684695346682,4222.6,60.55000000000018,4.249433106575955,6,0.9927369831234975,4277.2,83.69999999999982,3.0113378684807297,6
Apache,200,640,30.7448,30.8186,0.3292999999999999,0.0,9,2.2621802154304338e-08,30.7448,0.07379999999999853,0.23946577716054115,18,6.602288282806521e-05,30.8186,131.8362,0.0,6,8.379839579385126e-10,31.1982,98.80005000000001,-1.2317236993244338,4,9.524048990546792e-11,30.7448,0.0,0.23946577716054115,29,0.16685534787178302,30.7448,0.0,0.23946577716054115,30
LLVM,200,65536,52285.4,57751.2,1596.7000000000044,0.0,0,6.058901985029879e-13,52285.4,0.0,9.464392081896127,30,1.0,52285.4,0.0,9.464392081896127,29,0.16685534787178302,52285.4,1439.2999999999956,9.464392081896127,20,0.00033070096708709055,52285.4,39.400000000001455,9.464392081896127,18,7.096613099480297e-05,52285.4,0.0,9.464392081896127,30
PostgreSQL,200,864,45922.8,46035.0,114.79999999999563,0.0,4,8.004315373075478e-08,45939.8,58.0,0.20679917454110372,11,0.0015645406732541986,45980.8,98.19999999999709,0.1177365048332727,6,2.2767868246053406e-06,46096.4,83.04999999999563,-0.133376778538072,1,6.811092629526282e-11,45922.8,17.0,0.2437275985663019,17,0.17345344126768047,45922.8,17.0,0.2437275985663019,20
brotli,200,180,1.46,1.46,0.0,0.0,23,0.0027698972321252846,1.46,0.0,0.0,30,1.0,1.46,0.0,0.0,26,0.020932628600291856,1.46,0.0,0.0,26,0.020947854909932583,1.46,0.0,0.0,30,1.0,1.46,0.0,0.0,30
spear,200,16384,0.0,0.000993048659384,0.0,0.0,3,4.692790626850007e-10,0.000993048659384,0.000993048659384,0.0,13,3.8415393614992085e-05,0.000496524329692,0.000993048659384,50.0,15,0.0001920002932183062,0.000993048659384,0.000993048659386,0.0,3,7.747029679870113e-10,0.0,0.0,100.0,27,0.33290026110463594,0.0,0.0,100.0,28
storm,200,1557,0.0,0.0,0.0,0.0,23,0.002790031920411067,0.0,0.0,0.0,29,0.16685534787178302,0.0,3.7448440306475e-06,0.0,18,7.253641924304102e-05,5.44704586276e-06,3.506535774151e-05,0.0,7,2.9094749970302105e-09,0.0,0.0,0.0,28,0.08040106072011027,0.0,0.0,0.0,30
x264,200,4608,21.556,22.301000000000002,0.5279999999999987,0.0,0,1.0884702114362889e-11,21.556,0.0,3.340657369624685,27,0.9921758253841232,21.556,0.0,3.340657369624685,27,0.9913162946855554,21.834,1.3704999999999998,2.094076498811723,8,2.100247344744043e-05,21.556,0.0,3.340657369624685,24,0.9569188940584399,21.556,0.029999999999997584,3.340657369624685,18
