run,random_search,flash_v5,flash_v6
1,4795.2,4334.2,4315.8
2,4402.6,9077.0,4200.6
3,4667.6,4196.4,4304.6
4,4582.0,9067.0,4276.6
5,4417.4,5264.4,9067.0
6,4570.6,9078.0,8939.8
7,4593.8,4300.4,4843.6
8,4315.8,9086.8,4645.6
9,4507.4,4271.2,8955.4
10,4976.8,4295.8,4351.4
11,4857.8,8904.2,4196.4
12,4800.8,4276.6,4196.4
13,4370.6,4297.6,8898.0
14,4541.0,8930.2,4306.0
15,4697.6,4299.4,4277.2
16,4871.2,4650.6,4196.4
17,5239.4,9077.0,4354.8
18,8916.8,4297.8,4642.0
19,4415.0,4642.4,4271.2
20,4852.6,4402.0,9076.8
21,4396.2,4307.4,4238.4
22,4419.8,4224.2,4522.0
23,4343.8,9089.0,4224.2
24,4306.2,4325.0,4196.4
25,4275.6,4215.8,4224.2
26,4299.2,9071.4,4307.6
27,4720.2,4548.4,4304.0
28,4918.0,9077.0,4224.0
29,4385.2,4196.4,4196.4
30,4726.2,4291.8,8942.4
