system,n_configs,n_features,best_possible,rs_median,rs_iqr,v4_median,v4_iqr,v5_median,v5_iqr,v4_improv_pct,v5_improv_pct,p_v4_vs_rs,p_v5_vs_rs,p_v5_vs_v4,v4_hits_optimal,v5_hits_optimal
7z,68640,8,4196.4,4576.3,401.59999999999945,4536.0,4727.349999999999,4368.1,4736.549999999999,0.880624084959469,4.549526910386115,0.526523132717757,0.25055696553263346,0.3420886312238435,2,2
Apache,640,8,30.7448,31.0888,0.32720000000000127,30.7448,0.0,30.7448,0.0,1.106507809886511,1.106507809886511,3.050037785710288e-10,3.050037785710288e-10,1.0,30,30
LLVM,65536,16,52285.4,59141.5,3022.4000000000015,52285.4,0.0,52285.4,0.0,11.592705629718553,11.592705629718553,6.058901985029879e-13,6.058901985029879e-13,1.0,30,30
PostgreSQL,864,8,45922.8,46059.6,96.09999999999854,45939.8,58.0,45939.8,58.0,0.26009778634637654,0.26009778634637654,3.723981164404985e-06,3.723981164404985e-06,0.5030894925378325,9,9
brotli,180,2,1.46,1.472,0.05400000000000005,1.46,0.0,1.46,0.0,0.8152173913043484,0.8152173913043484,4.1116281635995336e-07,4.1116281635995336e-07,1.0,30,30
spear,16384,14,0.0,0.000993048659384,0.0,0.0,0.0,0.0,0.0,100.0,100.0,2.5915391982058114e-09,8.391083686796379e-10,0.37386903839374763,25,26
storm,1557,12,0.0,0.0,4.08528439707e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.00019211561309785813,3.297393075065527e-05,0.16685534787178302,29,30
x264,4608,10,21.556,22.759,0.8335000000000008,21.556,0.029999999999997584,21.556,0.029999999999997584,5.285820993892523,5.285820993892523,7.826568857593144e-11,7.826568857593144e-11,0.5035360791901998,20,20
