run,RS,HC,SA,BestConfig,TPE,FLASH-RF_v6
1,22.982,21.556,21.556,22.984,21.556,21.65
2,22.172,21.556,21.65,22.934,21.556,21.556
3,22.496,21.556,21.556,21.65,21.556,21.556
4,22.998,21.556,21.65,22.018,21.556,21.586
5,22.554,21.556,21.556,21.556,21.586,21.65
6,22.312,21.556,21.556,22.934,21.586,21.556
7,22.522,21.636,21.556,22.92,21.556,21.556
8,21.942,21.556,21.556,22.92,21.556,21.556
9,22.138,21.556,21.556,21.556,21.556,21.636
10,22.142,21.556,21.556,21.65,21.586,21.586
11,22.452,21.556,21.556,21.65,21.556,21.556
12,22.396,21.556,21.556,21.65,21.636,21.586
13,22.486,21.556,21.65,21.556,21.556,21.586
14,23.062,21.556,21.556,22.934,21.556,21.556
15,22.34,21.556,21.556,21.556,21.556,21.556
16,21.636,21.556,21.556,21.556,21.556,21.586
17,22.142,21.556,21.556,22.982,21.556,21.556
18,22.554,21.65,21.556,21.556,21.586,21.556
19,22.018,21.556,21.556,21.556,21.556,21.556
20,22.904,21.556,21.556,22.982,21.556,21.586
21,22.29,21.556,21.556,22.982,21.556,21.556
22,21.678,21.556,21.556,21.65,21.556,21.556
23,22.854,21.65,21.556,22.982,21.556,21.65
24,21.678,21.556,21.556,21.65,21.556,21.586
25,22.254,21.556,21.556,22.92,21.556,21.586
26,22.018,21.556,21.556,21.556,21.636,21.556
27,22.664,21.556,21.556,21.586,21.556,21.556
28,21.772,21.556,21.556,23.534,21.556,21.556
29,21.906,21.556,21.556,22.92,21.556,21.556
30,22.018,21.556,21.556,22.138,21.556,21.556
