run,RS,HC,SA,BestConfig,TPE,FLASH-RF_v6
1,31.03,30.8186,163.3106,163.3292,30.7448,30.7448
2,31.2232,30.7448,162.6548,163.342,30.7448,30.7448
3,31.03,30.7448,31.03,30.7448,30.7448,30.7448
4,30.7448,30.7448,30.8186,31.2782,30.7448,30.7448
5,31.1458,30.8186,30.7448,31.1622,30.7448,30.7448
6,31.03,30.8186,30.8186,30.8186,30.7448,30.7448
7,30.8186,30.7448,163.4268,163.3854,30.7448,30.7448
8,30.8186,30.7448,30.8186,30.7448,30.7448,30.7448
9,30.8186,30.8186,30.8186,31.3372,30.7448,30.7448
10,31.03,30.7448,162.6548,164.142,30.7448,30.7448
11,30.8186,30.8186,163.1684,30.7448,30.7448,30.7448
12,30.8186,30.7448,30.8186,31.1982,30.7448,30.7448
13,31.0888,30.8186,161.9186,163.3106,30.7448,30.7448
14,30.7448,30.7448,30.7448,31.3372,30.7448,30.7448
15,31.1244,30.8186,30.7448,31.1982,30.7448,30.7448
16,30.7448,30.8186,30.8186,30.8186,30.7448,30.7448
17,31.1244,30.7448,30.7448,31.0888,30.7448,30.7448
18,30.7448,30.7448,162.6548,163.597,30.7448,30.7448
19,30.7448,30.8186,162.9336,163.2298,30.7448,30.7448
20,30.8186,30.8186,30.8186,30.8186,30.7448,30.7448
21,30.7448,30.7448,30.7448,30.8186,30.7448,30.7448
22,30.7448,30.7448,30.8186,30.7448,30.8186,30.7448
23,30.7448,30.7448,30.8186,31.1982,30.7448,30.7448
24,31.03,31.1622,162.5204,31.368,30.7448,30.7448
25,31.2602,30.7448,163.2566,31.4314,30.7448,30.7448
26,31.03,30.7448,30.8186,31.1982,30.7448,30.7448
27,30.8186,30.7448,161.9186,31.03,30.7448,30.7448
28,30.7448,30.7448,30.8186,31.2232,30.7448,30.7448
29,31.1458,30.8186,30.7448,31.03,30.7448,30.7448
30,31.1244,30.7448,163.2566,162.4182,30.7448,30.7448
