run,RS,HC,SA,BestConfig,TPE,FLASH-RF_v6
1,56929.8,52285.4,52285.4,52285.4,52285.4,52285.4
2,57757.8,52285.4,52285.4,52285.4,52324.8,52285.4
3,56959.2,52285.4,52285.4,57058.6,53839.4,52285.4
4,56429.0,52285.4,52285.4,54937.4,52285.4,52285.4
5,57870.2,52285.4,53380.6,52285.4,52285.4,52285.4
6,59098.4,52285.4,52285.4,52285.4,52285.4,52285.4
7,57084.2,52285.4,52285.4,56277.8,52285.4,52285.4
8,56536.8,52285.4,52285.4,55081.4,52285.4,52285.4
9,57211.8,52285.4,52285.4,52285.4,52285.4,52285.4
10,56870.2,52285.4,52285.4,52285.4,53936.2,52285.4
11,57854.4,52285.4,52285.4,56915.0,52285.4,52285.4
12,56894.0,52285.4,52285.4,52285.4,52285.4,52285.4
13,57245.4,52285.4,52285.4,52285.4,53380.6,52285.4
14,55484.0,52285.4,52285.4,52285.4,52324.8,52285.4
15,57744.6,52285.4,52285.4,52285.4,52285.4,52285.4
16,59233.6,52285.4,52285.4,52285.4,52285.4,52285.4
17,59249.2,52285.4,52285.4,52285.4,52285.4,52285.4
18,58555.8,52285.4,52285.4,52285.4,52285.4,52285.4
19,57179.2,52285.4,52285.4,52285.4,52285.4,52285.4
20,59351.8,52285.4,52285.4,53839.4,53380.6,52285.4
21,55606.0,52285.4,52285.4,52285.4,52285.4,52285.4
22,58172.0,52285.4,52285.4,52324.8,52324.8,52285.4
23,57859.4,52285.4,52285.4,52285.4,52285.4,52285.4
24,56762.2,52285.4,52285.4,52285.4,52285.4,52285.4
25,58714.6,52285.4,52285.4,52285.4,52324.8,52285.4
26,57905.4,52285.4,52285.4,52285.4,54264.4,52285.4
27,60456.6,52285.4,52285.4,55162.2,52324.8,52285.4
28,54172.6,52285.4,52285.4,53839.4,52285.4,52285.4
29,58331.2,52285.4,52285.4,53380.6,52324.8,52285.4
30,59136.4,52285.4,52285.4,52285.4,52324.8,52285.4
