run,RS,HC,SA,BestConfig,TPE,FLASH-RF_v6
1,4795.2,9134.2,4370.6,4581.6,4683.4,4577.6
2,4864.8,18135.2,8924.0,8900.4,4730.0,4721.0
3,4667.6,46820.0,4554.6,4339.8,4778.0,4396.6
4,4854.4,4699.0,4838.8,4379.6,8899.6,8896.6
5,9155.4,37511.2,8910.2,9123.8,4754.0,5168.6
6,4570.6,9138.8,4570.6,9081.4,4351.4,4648.2
7,5170.8,9158.0,4789.2,9114.0,8906.2,5069.6
8,4315.8,5073.2,9120.8,8935.8,4337.0,7764.6
9,4887.8,38832.6,4735.6,8887.8,4844.4,9104.2
10,5730.0,5326.4,9139.6,8888.4,9094.6,9092.4
11,5018.4,9104.6,9001.8,4427.6,4664.2,9081.0
12,4800.8,9185.2,4409.8,4653.0,4567.6,9531.8
13,4731.0,10558.2,4687.0,10537.2,4661.0,4850.8
14,4541.0,46522.0,9167.2,10720.0,4663.4,4883.2
15,4697.6,38061.6,4658.6,8886.8,4315.2,4727.0
16,4871.2,5394.6,4859.6,10534.6,9123.2,4686.0
17,9036.4,10702.6,4597.4,8885.6,8904.0,4374.2
18,9203.0,15631.0,12797.6,10606.6,9106.2,5076.2
19,4566.4,10513.2,4871.2,8908.6,9125.0,9233.4
20,5055.4,49131.8,9101.0,10520.4,9117.4,4710.6
21,8921.2,9111.4,8921.2,4302.4,9130.8,5039.4
22,4419.8,4843.2,9110.4,4625.8,4384.0,10589.0
23,4343.8,9117.2,7444.0,9104.8,4276.6,9086.2
24,4702.6,9193.2,9113.4,4335.8,4569.2,4671.6
25,4275.6,48778.8,4275.6,4769.6,4541.0,5203.8
26,4707.6,37800.2,4697.6,8902.4,9112.0,5499.6
27,4720.2,9119.0,9119.0,4539.0,4277.2,9093.4
28,9143.2,49403.8,8930.6,4546.4,9121.6,5197.0
29,9079.2,4697.6,9079.2,4277.8,9100.4,5203.0
30,7400.6,9202.2,4698.8,4563.0,4735.6,4863.6
