run,RS,HC,SA,BestConfig,TPE,FLASH-RF_v6
1,46192.0,45980.8,46096.4,46039.0,46035.0,46035.0
2,46122.2,45939.8,46035.0,46099.4,46078.8,46095.0
3,46070.8,46099.4,46073.6,45939.8,46022.8,46169.2
4,46172.2,46140.0,46236.8,46129.8,46129.8,46022.8
5,46256.6,46083.6,46095.0,45939.8,46054.6,46083.6
6,46135.0,46122.2,46144.0,46132.4,46039.0,46070.8
7,46122.2,45980.8,45980.8,46145.8,45922.8,45922.8
8,46335.6,45922.8,46070.8,46078.8,45922.8,46096.4
9,46064.6,46097.6,46121.0,46121.0,45980.8,46022.8
10,46073.6,46039.0,46022.8,46042.4,46022.8,46078.8
11,46092.0,46129.8,46083.6,46129.8,46121.0,46022.8
12,46204.0,45939.8,46204.0,46258.4,46204.0,46064.6
13,46022.8,45939.8,46180.0,46140.0,45939.8,46022.8
14,46111.6,46096.4,46078.8,46039.0,46064.6,46070.8
15,46121.6,45922.8,46121.6,45922.8,46064.6,46039.0
16,46097.4,46163.2,46097.6,46095.0,45922.8,46047.4
17,46111.6,46191.4,46111.6,45939.8,46095.0,46094.8
18,45939.8,45939.8,46054.6,46106.2,45939.8,45922.8
19,46194.4,46047.4,46124.2,46054.6,46096.4,46167.0
20,46291.6,46039.0,46039.0,46102.0,46022.8,46054.6
21,46194.4,46102.0,46039.0,46096.4,46039.0,45980.8
22,46129.8,45922.8,46097.6,46042.4,46039.0,46022.8
23,46144.0,46078.8,46145.8,46121.6,46039.0,46022.8
24,46124.2,46258.4,46183.8,46133.4,46129.8,46022.8
25,46121.0,46094.8,46022.8,46213.6,46039.0,46095.0
26,46094.8,46178.0,46094.8,46188.8,45939.8,46042.4
27,46097.6,46124.2,46096.4,46078.8,46102.0,46097.4
28,46142.2,46299.2,46070.8,46047.4,46100.4,46022.8
29,45980.8,46097.4,45980.8,46083.6,45939.8,46022.8
30,46132.6,45939.8,46070.8,46258.0,46070.8,46022.8
