run,RS,HC,SA,BestConfig,TPE,FLASH-RF_v6
1,7.62586420787e-05,0.000175667229074,1.49793761226e-05,0.162151746527,0.0,1.36176146569e-05
2,0.0,0.0,2.72352293138e-06,0.00225099170279,0.0,0.00066045431086
3,2.72352293138e-06,0.000812971595018,1.90646605197e-05,0.00246615001437,0.0,8.17056879415e-06
4,1.08940917255e-05,0.000228775926236,0.000324099228834,4.76616512992e-05,1.49793761226e-05,2.72352293138e-06
5,2.31499449167e-05,1.36176146569e-05,1.63411375883e-05,6.80880732846e-05,0.0001388996695,2.72352293138e-06
6,0.0,1.63411375883e-05,0.000258734678481,0.0,2.31499449167e-05,1.36176146569e-06
7,4.76616512992e-05,4.08528439707e-06,8.03439264758e-05,8.85144952699e-05,1.36176146569e-06,4.08528439707e-06
8,0.000118473247515,0.000769395228115,2.72352293138e-06,5.44704586276e-06,1.63411375883e-05,6.80880732846e-05
9,0.0,0.00130865276853,0.0,0.000826589209674,1.63411375883e-05,8.17056879415e-06
10,0.000192008366662,0.000747607044664,0.0,1.08940917255e-05,0.0,0.0
11,0.0,4.08528439707e-06,2.72352293138e-06,0.0141772986193,0.0,0.0
12,4.22146054364e-05,0.000804801026223,0.00066045431086,5.99175044904e-05,1.90646605197e-05,5.17469356963e-05
13,0.0,0.000783012842772,3.26822751766e-05,1.49793761226e-05,0.0,0.000616877943958
14,6.80880732846e-06,1.49793761226e-05,0.000192008366662,0.0,1.63411375883e-05,0.0
15,9.53233025984e-06,2.72352293138e-06,0.000104855632858,0.000104855632858,4.08528439707e-05,8.17056879415e-06
16,1.49793761226e-05,0.0,8.17056879415e-06,0.000769395228115,0.000114387963118,0.0
17,6.80880732846e-05,1.90646605197e-05,0.0,1.63411375883e-05,0.0,4.22146054364e-05
18,5.99175044904e-05,8.17056879415e-06,0.0,5.99175044904e-05,6.80880732846e-06,0.0
19,0.000649560219135,0.0,0.00201132168483,2.17881834511e-05,0.000168858421746,0.000616877943958
20,4.08528439707e-06,1.49793761226e-05,4.08528439707e-06,5.44704586276e-06,1.08940917255e-05,2.72352293138e-06
21,4.35763669021e-05,0.0,4.35763669021e-05,0.0,0.0,0.0
22,2.72352293138e-06,2.72352293138e-05,0.0,4.08528439707e-06,5.44704586276e-06,0.0
23,1.49793761226e-05,8.85144952699e-05,0.00525367573464,0.000867442053645,0.0,0.0
24,4.08528439707e-06,0.0,5.44704586276e-06,5.44704586276e-06,0.0,0.0
25,0.000122558531912,2.72352293138e-06,0.0141772986193,1.49793761226e-05,0.0,1.36176146569e-06
26,0.0,0.0,0.000175667229074,1.90646605197e-05,1.49793761226e-05,0.0
27,7.35351191473e-05,1.49793761226e-05,2.72352293138e-06,7.35351191473e-05,6.40027888875e-05,1.36176146569e-06
28,2.31499449167e-05,1.63411375883e-05,0.0,1.63411375883e-05,1.63411375883e-05,4.22146054364e-05
29,8.17056879415e-06,4.08528439707e-06,0.000144346715363,4.08528439707e-06,0.0,0.0
30,8.17056879415e-06,8.17056879415e-06,0.0,0.000832036255537,0.0,8.17056879415e-06
