run,RS,HC,SA,BestConfig,TPE,FLASH-RF_v6
1,1.52,1.514,1.534,1.46,1.46,1.46
2,1.472,1.46,1.472,1.472,1.46,1.46
3,1.514,1.472,1.514,1.556,1.472,1.472
4,1.472,1.514,1.472,1.52,1.46,1.46
5,1.472,1.46,1.514,1.514,1.514,1.46
6,1.514,1.514,1.472,1.46,1.528,1.46
7,1.628,1.514,1.52,1.46,1.46,1.46
8,1.556,1.472,1.472,1.514,1.514,1.46
9,1.46,1.46,1.472,1.46,1.46,1.472
10,1.942,1.472,1.942,1.46,1.46,1.46
11,1.574,1.514,1.534,1.57,1.52,1.46
12,1.526,1.472,1.526,1.52,1.46,1.46
13,1.514,1.514,1.526,1.46,1.46,1.472
14,1.46,1.514,1.46,1.46,1.514,1.46
15,1.526,1.472,1.59,1.472,1.46,1.46
16,1.514,1.514,1.596,1.46,1.52,1.46
17,1.472,1.514,1.472,1.46,1.46,1.46
18,1.526,1.514,1.46,1.526,1.46,1.46
19,1.628,1.472,1.942,1.46,1.46,1.46
20,1.52,1.514,1.52,1.52,1.46,1.46
21,1.472,1.46,1.598,1.52,1.528,1.46
22,1.52,1.46,1.528,1.57,1.52,1.46
23,1.526,1.514,1.574,1.52,1.52,1.46
24,1.52,1.514,1.52,1.46,1.46,1.472
25,1.46,1.514,1.46,1.46,1.472,1.46
26,1.46,1.514,1.472,1.46,1.57,1.46
27,1.526,1.514,1.514,1.46,1.514,1.46
28,1.526,1.514,1.52,1.556,1.574,1.46
29,1.526,1.472,1.514,1.556,1.514,1.46
30,1.472,1.472,1.52,1.46,1.514,1.46
