system,n_configs,n_features,best_possible,rs_median,rs_iqr,v2_median,v2_iqr,v4_median,v4_iqr,v2_improv_pct,v4_improv_pct,p_v2_vs_rs,p_v4_vs_rs,p_v4_vs_v2,v2_hits_optimal,v4_hits_optimal
7z,68640,8,4196.4,4576.3,401.59999999999945,4499.200000000001,1312.8000000000002,4536.0,4727.349999999999,1.6847671699844733,0.880624084959469,0.30239423512982966,0.526523132717757,0.5733222251343583,0,2
Apache,640,8,30.7448,31.0888,0.32720000000000127,30.7448,0.0,30.7448,0.0,1.106507809886511,1.106507809886511,3.050037785710288e-10,3.050037785710288e-10,1.0,30,30
LLVM,65536,16,52285.4,59141.5,3022.4000000000015,52285.4,1563.0499999999956,52285.4,0.0,11.592705629718553,11.592705629718553,3.3489334616863695e-11,6.058901985029879e-13,7.269486150660258e-05,18,30
PostgreSQL,864,8,45922.8,46059.6,96.09999999999854,45980.8,95.19999999999709,45939.8,58.0,0.17108268417440803,0.26009778634637654,0.00042846513404874243,3.723981164404985e-06,0.013914406881288078,5,9
brotli,180,2,1.46,1.472,0.05400000000000005,1.46,0.0,1.46,0.0,0.8152173913043484,0.8152173913043484,1.5363872208338335e-06,4.1116281635995336e-07,0.16685534787178302,29,30
spear,16384,14,0.0,0.000993048659384,0.0,0.0,0.000993048659384,0.0,0.0,100.0,100.0,0.001611344532233277,2.5915391982058114e-09,0.006157780974273557,16,25
storm,1557,12,0.0,0.0,4.08528439707e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0015165567419753677,0.00019211561309785813,0.16920914312617202,27,29
x264,4608,10,21.556,22.759,0.8335000000000008,21.556,0.07049999999999912,21.556,0.029999999999997584,5.285820993892523,5.285820993892523,3.841885308808648e-07,7.826568857593144e-11,0.48907726927342937,22,20
