system,n_configs,n_features,best_possible,rs_median,rs_iqr,v6_median,v6_iqr,v7_median,v7_iqr,v6_improv_pct,v7_improv_pct,p_v6_vs_rs,p_v7_vs_rs,p_v7_vs_v6,v6_hits_optimal,v7_hits_optimal
7z,68640,8,4196.4,4576.3,401.59999999999945,4305.3,420.5000000000009,4634.8,492.90000000000055,5.92181456635273,-1.2783252846185782,0.004622558569217538,0.4354018439225898,0.964502294879818,5,2
Apache,640,8,30.7448,31.0888,0.32720000000000127,30.7448,0.0,30.7448,0.0,1.106507809886511,1.106507809886511,3.050037785710288e-10,3.050037785710288e-10,1.0,30,30
LLVM,65536,16,52285.4,59141.5,3022.4000000000015,52285.4,0.0,52285.4,0.0,11.592705629718553,11.592705629718553,6.058901985029879e-13,6.058901985029879e-13,1.0,30,30
PostgreSQL,864,8,45922.8,46059.6,96.09999999999854,45939.8,58.0,45939.8,58.0,0.26009778634637654,0.26009778634637654,3.723981164404985e-06,3.723981164404985e-06,0.5030894925378325,9,9
brotli,180,2,1.46,1.472,0.05400000000000005,1.46,0.0,1.46,0.0,0.8152173913043484,0.8152173913043484,4.1116281635995336e-07,4.1116281635995336e-07,1.0,30,30
spear,16384,14,0.0,0.000993048659384,0.0,0.0,0.0,0.0,0.0,100.0,100.0,4.612120526533661e-11,1.5834040343427618e-10,0.6547437544630764,27,26
storm,1557,12,0.0,0.0,4.08528439707e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.297393075065527e-05,0.0005250545788831949,0.9264591948536022,30,28
x264,4608,10,21.556,22.759,0.8335000000000008,21.556,0.029999999999997584,21.556,0.029999999999997584,5.285820993892523,5.285820993892523,7.826568857593144e-11,7.826568857593144e-11,0.5035360791901998,20,20
