run,random_search,flash_v5_base,flash_v5_opt
1,0.00297914597815,0.000993048659384,0.000993048659384
2,0.000993048659384,0.000993048659384,0.0
3,0.00297914597815,0.000993048659384,0.000993048659384
4,0.000993048659384,0.000993048659384,0.000993048659384
5,0.000993048659384,0.000993048659384,0.000993048659384
6,0.000993048659384,0.0,0.000993048659384
7,0.00297914597815,0.0,0.000993048659384
8,0.00397219463754,0.0,0.0
9,0.00297914597815,0.00397219463754,0.0
10,0.000993048659384,0.00595829195631,0.000993048659384
11,0.00198609731877,0.0,0.000993048659384
12,0.00595829195631,0.000993048659384,0.0
13,0.00496524329692,0.000993048659384,0.000993048659384
14,0.00297914597815,0.000993048659384,0.000993048659384
15,0.00198609731877,0.000993048659384,0.0
16,0.00198609731877,0.000993048659384,0.000993048659384
17,0.00198609731877,0.0,0.000993048659384
18,0.00198609731877,0.000993048659384,0.000993048659384
19,0.00297914597815,0.000993048659384,0.0
20,0.000993048659384,0.000993048659384,0.00297914597815
21,0.00198609731877,0.000993048659384,0.000993048659384
22,0.00198609731877,0.000993048659384,0.000993048659384
23,0.00198609731877,0.000993048659384,0.000993048659384
24,0.00496524329692,0.000993048659384,0.0
25,0.00397219463754,0.000993048659384,0.00198609731877
26,0.000993048659384,0.000993048659384,0.000993048659384
27,0.000993048659384,0.0,0.0
28,0.00297914597815,0.000993048659384,0.00297914597815
29,0.00297914597815,0.000993048659384,0.000993048659384
30,0.00198609731877,0.000993048659384,0.0
