system,n_configs,n_features,best_possible,rs_median,rs_iqr,v5_base_median,v5_base_iqr,v5_opt_median,v5_opt_iqr,v5_base_improv_pct,v5_opt_improv_pct,p_v5_base_vs_rs,p_v5_opt_vs_rs,p_v5_opt_vs_v5_base,v5_base_hits_optimal,v5_opt_hits_optimal
7z,68640,8,4196.4,4827.6,915.0999999999995,5045.7,4394.85,6837.4,4437.600000000001,-4.517772806363399,-41.63145248156432,0.9263191926171574,0.7154033340486865,0.17770281358648665,0,0
Apache,640,8,30.7448,31.3279,0.4261999999999979,30.8186,0.3255499999999998,30.8186,0.07379999999999853,1.6257074365022859,1.6257074365022859,1.656743559804633e-06,1.8262936303666396e-08,0.0843080127529296,8,13
LLVM,65536,16,52285.4,61518.3,3601.9000000000015,52285.4,0.0,52285.4,0.0,15.008379620373127,15.008379620373127,1.1819204805558064e-12,3.922766267092732e-12,0.9708514796843138,28,23
PostgreSQL,864,8,45922.8,46122.2,69.69999999998981,46040.7,59.599999999998545,46054.6,43.80000000000291,0.1767044937145236,0.14656716288468144,4.449317747771376e-06,9.833903963764229e-06,0.753082366149936,2,1
brotli,180,2,1.46,1.52,0.05400000000000005,1.46,0.0,1.472,0.0,3.947368421052635,3.157894736842108,2.2832535876466807e-09,7.496196411938555e-06,0.9999995154486919,26,7
spear,16384,14,0.0,0.00198609731877,0.0017378351539195,0.000993048659384,0.0,0.000993048659384,0.000993048659384,50.00000000005035,50.00000000005035,6.018469448519312e-07,2.63079431447674e-07,0.28122893956429346,6,9
storm,1557,12,0.0,1.2936733924049999e-05,5.3789577894797496e-05,2.72352293138e-06,1.2255853191212501e-05,2.72352293138e-06,1.05536513590775e-05,78.9473684210445,78.9473684210445,0.02323952683629148,0.025508012448461587,0.6467211973403657,11,8
x264,4608,10,21.556,23.393,2.1679999999999993,21.714,0.6460000000000008,21.714,1.1545000000000023,7.177360748941999,7.177360748941999,1.4244634335287197e-09,4.532822425457254e-09,0.6418134489744156,4,2
