run,RS,HC,SA,BestConfig,TPE,FLASH-RF_v6
1,31.2602,30.8186,163.3106,163.3292,30.7448,30.7448
2,31.2232,30.7448,162.6548,163.342,30.7448,30.7448
3,31.03,31.9676,31.03,31.1622,30.7448,30.7448
4,31.0946,30.7448,30.8186,31.4314,30.8186,30.7448
5,31.4676,30.8186,30.7448,30.8186,30.7448,30.7448
6,31.3372,30.8186,30.8186,30.8186,30.7448,30.7448
7,31.1244,31.1982,163.4268,163.3854,30.7448,30.7448
8,30.8186,31.9392,31.03,30.7448,30.7448,30.7448
9,31.0888,30.8186,30.8186,30.8186,30.7448,30.7448
10,31.03,30.7448,163.6058,163.3106,30.7448,30.7448
11,30.8186,30.8186,163.1684,163.6058,30.7448,30.7448
12,30.8186,30.7448,31.03,30.7448,30.7448,30.7448
13,31.0888,30.8186,161.9186,162.4182,30.8186,30.7448
14,30.7448,30.8186,30.7448,31.3372,30.7448,30.7448
15,31.1244,30.8186,30.7448,31.1622,30.8186,30.7448
16,31.0888,30.8186,31.0888,164.1768,30.7448,30.7448
17,31.1458,30.7448,30.7448,30.8186,30.7448,30.7448
18,30.7448,31.1622,162.6548,164.143,30.7448,30.7448
19,30.7448,161.9186,162.9336,164.142,30.7448,30.7448
20,31.2782,163.2298,31.0946,162.2004,30.7448,30.7448
21,31.03,30.7448,30.7448,31.3372,30.7448,30.7448
22,30.7448,30.7448,30.8186,30.7448,30.7448,30.7448
23,31.1458,31.9676,30.8186,164.2452,30.8186,30.7448
24,31.0888,31.1622,162.5204,161.9186,30.7448,30.7448
25,31.4314,30.7448,163.2566,162.4182,30.7448,30.7448
26,31.03,30.8186,30.8186,31.1982,30.7448,30.7448
27,30.8186,30.7448,161.9186,162.6548,30.7448,30.7448
28,30.7448,30.8186,30.8186,163.3854,161.9186,30.7448
29,31.3498,31.1622,30.7448,31.1982,30.7448,30.7448
30,31.1244,30.7448,163.2566,163.597,30.7448,30.7448
