run,RS,HC,SA,BestConfig,TPE,FLASH-RF_v6
1,46073.6,45980.8,46022.8,46132.6,45939.8,45922.8
2,46092.0,45939.8,46035.0,46122.2,45922.8,46022.8
3,46070.8,45939.8,46064.6,46108.2,46039.0,45980.8
4,46092.0,46078.8,46039.0,46121.0,45939.8,45922.8
5,46022.8,46083.6,45939.8,46106.2,45980.8,45980.8
6,46064.6,45939.8,46121.6,46122.2,46022.8,46039.0
7,46102.0,45980.8,45980.8,46129.8,45939.8,45922.8
8,45939.8,45922.8,46039.0,46095.0,45922.8,46035.0
9,46064.6,45980.8,46054.6,46121.0,45980.8,45939.8
10,46073.6,46039.0,46022.8,46042.4,45939.8,45922.8
11,46064.6,45980.8,46083.6,46078.8,46022.8,45922.8
12,45939.8,45939.8,45939.8,46039.0,45980.8,45939.8
13,46022.8,45939.8,46078.8,46143.4,45939.8,45980.8
14,46111.6,46039.0,46035.0,46064.6,46092.0,45939.8
15,46035.0,45922.8,46095.0,46121.6,46039.0,45980.8
16,46054.6,46039.0,45939.8,46132.4,45922.8,45939.8
17,45939.8,46047.4,46035.0,46022.8,46039.0,45980.8
18,45922.8,45922.8,45922.8,45939.8,45939.8,45939.8
19,46121.6,46039.0,46095.0,46096.4,46073.6,45980.8
20,46035.0,45939.8,46039.0,46095.0,45922.8,45980.8
21,46039.0,45980.8,46039.0,46039.0,45939.8,45980.8
22,45939.8,45922.8,45922.8,46095.0,45939.8,45922.8
23,46022.8,46078.8,46022.8,46078.8,45939.8,45980.8
24,46124.2,45922.8,45939.8,45922.8,45922.8,45922.8
25,46121.0,46039.0,45922.8,46121.0,45922.8,45939.8
26,45939.8,46039.0,46054.6,46143.4,45922.8,45980.8
27,46073.6,46099.4,46022.8,46047.4,45939.8,45922.8
28,45939.8,45939.8,45922.8,46035.0,46039.0,45980.8
29,45980.8,45922.8,45980.8,46078.8,45922.8,45939.8
30,46094.8,45939.8,46070.8,45939.8,45980.8,45922.8
