run,RS,HC,SA,BestConfig,TPE,FLASH-RF_v6
1,4795.2,9097.8,4370.6,4277.8,4649.2,4315.8
2,4402.6,9097.8,8924.0,8884.4,4224.0,4200.6
3,4667.6,10473.0,4554.6,8885.2,8891.4,4304.6
4,4582.0,4291.8,4331.8,4306.2,4224.0,4276.6
5,4417.4,4651.2,9160.2,9094.4,4277.2,9067.0
6,4570.6,9128.2,4570.6,4196.4,4275.6,8939.8
7,4593.8,9113.6,4789.2,4306.2,7397.8,4843.6
8,4315.8,4530.0,9120.8,9129.8,4307.4,4645.6
9,4507.4,4707.8,4735.6,8925.4,4200.6,8955.4
10,4976.8,4652.4,4304.6,8908.2,4200.6,4351.4
11,4857.8,9079.2,8896.8,4277.2,4340.2,4196.4
12,4800.8,9085.0,4773.0,8885.6,4585.0,4196.4
13,4370.6,4275.6,4302.4,4522.0,4315.2,8898.0
14,4541.0,9076.2,9167.2,4299.4,4196.4,4306.0
15,4697.6,4298.0,4648.2,4302.4,4353.8,4277.2
16,4871.2,4642.4,4565.0,4373.0,4200.6,4196.4
17,5239.4,10478.2,4597.4,8934.2,4196.4,4354.8
18,8916.8,5730.2,4334.2,8916.6,4310.8,4642.0
19,4415.0,10448.2,4662.8,10550.8,4382.8,4271.2
20,4852.6,9111.4,9101.0,4306.2,4682.8,9076.8
21,4396.2,9111.4,4765.0,8885.2,4280.4,4238.4
22,4419.8,4295.8,5056.4,9106.0,4317.0,4522.0
23,4343.8,9100.4,4297.8,8989.6,4295.8,4224.2
24,4306.2,9092.6,9105.8,9012.0,4334.2,4196.4
25,4275.6,9102.0,4275.6,9079.2,4312.8,4224.2
26,4299.2,4647.6,4697.6,4304.6,4282.4,4307.6
27,4720.2,9081.8,7449.0,8930.6,4351.4,4304.0
28,4918.0,9095.2,4573.2,8946.0,4307.4,4224.0
29,4385.2,4277.2,4373.6,9079.2,4291.0,4196.4
30,4726.2,9110.8,4655.2,4355.4,4310.8,8942.4
