run,RS,HC,SA,BestConfig,TPE,FLASH-RF_v6
1,56929.8,55372.8,52324.8,52285.4,53727.6,52285.4
2,59540.4,53429.4,53429.4,53756.2,55555.6,52285.4
3,63358.6,56516.6,52285.4,57216.4,53862.8,52285.4
4,56442.8,57504.4,53879.2,54233.0,53380.6,52285.4
5,57870.2,55372.8,53429.4,53879.2,52285.4,52285.4
6,59782.6,52285.4,56946.6,52285.4,53429.4,52285.4
7,57202.0,53429.4,53380.6,53839.4,52324.8,52285.4
8,56536.8,52324.8,56686.6,52285.4,53727.6,52285.4
9,57211.8,52285.4,52285.4,53380.6,56303.6,52285.4
10,63087.4,52285.4,54937.4,54845.4,55732.8,52285.4
11,58023.0,56610.0,53756.2,52285.4,52285.4,52285.4
12,59994.2,55203.2,56610.0,56919.4,56728.6,52285.4
13,60984.2,54845.4,56400.0,53380.6,56378.8,52285.4
14,55484.0,56842.4,53380.6,54937.4,55451.6,52285.4
15,59257.4,52285.4,54937.4,52285.4,56400.0,52285.4
16,60750.4,52285.4,53380.6,56483.2,53380.6,52285.4
17,59633.6,53380.6,57211.8,52285.4,52324.8,52285.4
18,58555.8,53380.6,54845.4,52324.8,54172.6,52285.4
19,61688.0,54937.4,55382.4,52285.4,52285.4,52285.4
20,60304.4,53839.4,55568.4,52285.4,53380.6,52285.4
21,55606.0,57720.4,52285.4,52285.4,52324.8,52285.4
22,62322.4,52324.8,56745.0,52285.4,53756.2,52285.4
23,57859.4,55226.8,56400.0,58753.2,56536.8,52285.4
24,56762.2,57926.2,53839.4,53380.6,52285.4,52285.4
25,58714.6,55001.2,53380.6,52285.4,52285.4,52285.4
26,59463.0,56277.8,56690.4,57341.8,52285.4,52285.4
27,60456.6,57654.2,52285.4,52285.4,55372.8,52285.4
28,54172.6,55162.2,52285.4,52285.4,53919.8,52285.4
29,59146.6,53839.4,57523.8,53887.2,56919.4,52285.4
30,59136.4,58615.6,56400.0,55451.6,53839.4,52285.4
