run,RS,HC,SA,BestConfig,TPE,FLASH-RF_v6
1,22.982,21.556,21.65,22.984,21.556,21.586
2,22.934,21.556,22.312,22.92,21.586,21.586
3,22.664,21.556,21.556,21.586,21.556,21.65
4,23.178,22.92,22.312,21.65,21.556,21.556
5,22.554,21.556,21.906,21.556,21.636,21.556
6,23.586,21.636,21.556,22.92,21.556,21.556
7,22.92,22.92,21.556,22.92,21.586,22.78
8,22.874,21.556,21.772,22.982,21.556,21.556
9,22.138,21.65,22.168,21.65,21.636,21.65
10,23.162,21.556,21.556,21.65,21.636,22.29
11,23.048,21.556,21.758,21.65,21.586,21.556
12,23.2,21.556,21.758,21.586,21.714,21.556
13,22.486,21.556,22.168,21.65,21.65,21.586
14,23.062,21.556,21.586,21.65,21.678,21.586
15,22.34,21.556,22.982,21.556,21.678,21.556
16,21.636,21.556,21.636,21.65,21.556,21.586
17,22.142,21.636,21.556,21.556,21.586,21.556
18,23.056,21.65,22.92,21.65,21.586,21.556
19,22.018,21.556,21.586,21.65,21.636,21.556
20,22.904,21.556,21.678,21.556,21.556,21.556
21,22.486,21.556,21.698,22.982,21.698,21.556
22,22.622,21.556,21.556,21.65,21.906,21.556
23,22.854,21.65,22.866,22.92,21.556,21.556
24,21.678,21.556,21.65,21.556,21.586,21.556
25,23.186,21.556,21.942,22.92,21.698,21.556
26,22.018,21.556,22.394,21.556,21.65,21.556
27,22.664,21.556,22.934,21.758,21.586,21.556
28,22.168,21.586,21.758,22.984,21.698,21.586
29,21.906,21.556,30.748,22.92,21.694,21.556
30,23.034,21.556,22.248,22.982,21.556,21.556
