system,n_configs,n_features,best_possible,rs_median,rs_iqr,v1_median,v1_iqr,v2_median,v2_iqr,p_v2_vs_rs,p_v2_vs_v1,v1_improv_pct,v2_improv_pct,v2_hits_optimal,v1_hits_optimal,tpe_median,tpe_iqr,p_v2_vs_tpe,tpe_improv_pct,tpe_hits_optimal
7z,68640,8,4196.4,4576.3,401.59999999999945,4673.8,429.9500000000007,4499.200000000001,1312.8000000000002,0.30239423512982966,0.21230214233402805,-2.130542141030964,1.6847671699844733,0,0,4309.1,72.59999999999945,0.9968208926708982,5.838778052138186,2
Apache,640,8,30.7448,31.0888,0.32720000000000127,30.7448,0.07379999999999853,30.7448,0.0,3.050037785710288e-10,1.384543532102655e-05,1.106507809886511,1.106507809886511,30,16,30.7448,0.0,0.010749065484329511,1.106507809886511,25
LLVM,65536,16,52285.4,59141.5,3022.4000000000015,52285.4,0.0,52285.4,1563.0499999999956,3.3489334616863695e-11,0.9899840496026378,11.592705629718553,11.592705629718553,18,25,53741.899999999994,3204.7999999999956,0.0036481674513545847,9.12996795820195,6
PostgreSQL,864,8,45922.8,46059.6,96.09999999999854,45939.8,107.94999999999709,45980.8,95.19999999999709,0.00042846513404874243,0.7677683879249564,0.26009778634637654,0.17108268417440803,5,8,45939.8,85.25,0.919168311378441,0.26009778634637654,8
brotli,180,2,1.46,1.472,0.05400000000000005,1.46,0.0,1.46,0.0,1.5363872208338335e-06,0.8492760334309752,0.8152173913043484,0.8152173913043484,29,30,1.46,0.0,0.8492760334309752,0.8152173913043484,30
spear,16384,14,0.0,0.000993048659384,0.0,0.000993048659384,0.000993048659384,0.0,0.000993048659384,0.001611344532233277,0.23946566326324947,0.0,100.0,16,9,0.0,0.000993048659384,0.8826330490233885,100.0,19
storm,1557,12,0.0,0.0,4.08528439707e-06,0.0,0.0,0.0,0.0,0.0015165567419753677,0.6999809789889393,0.0,0.0,27,28,0.0,1.0213210992675e-06,0.047918901714722295,0.0,22
x264,4608,10,21.556,22.759,0.8335000000000008,21.586,0.09399999999999764,21.556,0.07049999999999912,3.841885308808648e-07,0.07499401157981908,5.154005009007434,5.285820993892523,22,12,21.586,0.11499999999999844,0.028387210279012462,5.154005009007434,9
