System,Configs,Features,Optimal,RS_Median,RS_IQR,FLASH_Median,FLASH_IQR,TPE_Median,TPE_IQR,FLASH_Improv_pct,TPE_Improv_pct,FLASH_vs_RS_p,TPE_vs_RS_p,FLASH_vs_TPE_p
7z,68640,8,4196.4,4576.3,401.59999999999945,4673.8,429.9500000000007,4309.1,72.59999999999945,-2.130542141030964,5.838778052138186,0.7633267213707753,9.632935292676922e-06,0.9999943720410452
Apache,640,8,30.7448,31.0888,0.32720000000000127,30.7448,0.07379999999999853,30.7448,0.0,1.106507809886511,1.106507809886511,9.79830430082033e-05,9.512138003589432e-08,0.993792202754299
LLVM,65536,16,52285.4,59141.5,3022.4000000000015,52285.4,0.0,53741.899999999994,3204.7999999999956,11.592705629718553,9.12996795820195,2.601934910875525e-12,3.278030235106145e-10,1.7111244559292945e-07
PostgreSQL,864,8,45922.8,46059.6,96.09999999999854,45939.8,107.94999999999709,45939.8,85.25,0.26009778634637654,0.26009778634637654,0.00011389536013316394,5.291936858487226e-05,0.6617844988720597
brotli,180,2,1.46,1.472,0.05400000000000005,1.46,0.0,1.46,0.0,0.8152173913043484,0.8152173913043484,4.1116281635995336e-07,4.1116281635995336e-07,1.0
spear,16384,14,0.0,0.000993048659384,0.0,0.000993048659384,0.000993048659384,0.0,0.000993048659384,0.0,100.0,0.0005211308899844976,7.303597289753244e-07,0.9900239706863588
storm,1557,12,0.0,0.0,4.08528439707e-06,0.0,0.0,0.0,1.0213210992675e-06,0.0,0.0,0.0003701234968563547,0.06215271854890542,0.016578704892297156
x264,4608,10,21.556,22.759,0.8335000000000008,21.586,0.09399999999999764,21.586,0.11499999999999844,5.154005009007434,5.154005009007434,1.5129457915938012e-10,9.097981729382753e-11,0.48183346882084854
