param_value,system,median,iqr,rs_median,improv_pct,is_default
1,brotli,1.46,0.0,1.472,0.8152173913043484,False
1,x264,21.643,0.06400000000000006,22.759,4.903554637725733,False
1,LLVM,52285.4,0.0,59141.5,11.592705629718553,False
1,7z,4689.4,4375.75,4576.3,-2.471428883595906,False
2,brotli,1.46,0.0,1.472,0.8152173913043484,False
2,x264,21.65,0.10700000000000287,22.759,4.872797574585886,False
2,LLVM,52285.4,0.0,59141.5,11.592705629718553,False
2,7z,4666.700000000001,157.5,4576.3,-1.9753949697353876,False
3,brotli,1.46,0.0,1.472,0.8152173913043484,False
3,x264,21.714,0.30400000000000205,22.759,4.591590140164338,False
3,LLVM,52285.4,0.0,59141.5,11.592705629718553,False
3,7z,4625.2,234.5,4576.3,-1.0685488276555217,False
5,brotli,1.46,0.0,1.472,0.8152173913043484,True
5,x264,21.586,0.09399999999999764,22.759,5.154005009007434,True
5,LLVM,52285.4,0.0,59141.5,11.592705629718553,True
5,7z,4673.8,429.9500000000007,4576.3,-2.130542141030964,True
8,brotli,1.46,0.0,1.472,0.8152173913043484,False
8,x264,21.586,0.13700000000000045,22.759,5.154005009007434,False
8,LLVM,52285.4,29.55000000000291,59141.5,11.592705629718553,False
8,7z,4698.9,275.09999999999945,4576.3,-2.6790201691322566,False
10,brotli,1.46,0.0,1.472,0.8152173913043484,False
10,x264,21.610999999999997,0.20149999999999935,22.759,5.044158354936522,False
10,LLVM,52285.4,39.400000000001455,59141.5,11.592705629718553,False
10,7z,4675.4,393.10000000000036,4576.3,-2.1655048838581266,False
15,brotli,1.46,0.0,1.472,0.8152173913043484,False
15,x264,21.556,0.14199999999999946,22.759,5.285820993892523,False
15,LLVM,52285.4,39.400000000001455,59141.5,11.592705629718553,False
15,7z,4677.2,301.84999999999945,4576.3,-2.204837969538702,False
20,brotli,1.46,0.0,1.472,0.8152173913043484,False
20,x264,21.586,0.13700000000000045,22.759,5.154005009007434,False
20,LLVM,52285.4,0.0,59141.5,11.592705629718553,False
20,7z,4641.8,344.0500000000002,4576.3,-1.431287284487468,False
