system,budget,n_configs,best_possible,RS_median,RS_iqr,RS_improv_pct,RS_hits,v6_vs_RS_p,HC_median,HC_iqr,HC_improv_pct,HC_hits,v6_vs_HC_p,SA_median,SA_iqr,SA_improv_pct,SA_hits,v6_vs_SA_p,BestConfig_median,BestConfig_iqr,BestConfig_improv_pct,BestConfig_hits,v6_vs_BestConfig_p,TPE_median,TPE_iqr,TPE_improv_pct,TPE_hits,v6_vs_TPE_p,FLASH-RF_v6_median,FLASH-RF_v6_iqr,FLASH-RF_v6_improv_pct,FLASH-RF_v6_hits
7z,30,68640,4196.4,4827.6,915.0999999999995,0.0,0,0.954754819546928,9197.7,28615.1,-90.52324136216754,0,2.210248431604142e-06,6157.6,4405.9,-27.549921285939185,0,0.5088464734599576,8887.3,4548.4,-84.09354544701299,0,0.4970509606627476,4744.8,4530.950000000001,1.7151379567486986,0,0.8646473311377408,5122.4,4312.4,-6.106553981274324,0
Apache,30,640,30.7448,31.3279,0.4261999999999979,0.0,0,1.656743559804633e-06,31.1622,131.762,0.5289215044736515,6,0.004567284145584201,31.5191,132.05895,-0.6103185977994121,1,3.040245713111807e-06,163.1991,99.40695,-420.9385244462603,1,7.373396209366005e-09,31.0594,0.9707499999999989,0.8570635120770926,5,0.03649334125704976,30.8186,0.3255499999999998,1.6257074365022859,8
LLVM,30,65536,52285.4,61518.3,3601.9000000000015,0.0,0,8.60125501565774e-13,63743.5,6131.999999999993,-3.6171350638752973,0,8.60125501565774e-13,60085.2,3559.0499999999956,2.3295507190543394,0,8.60125501565774e-13,60021.7,4615.300000000003,2.432772036938611,1,3.4632322946427027e-12,58530.4,1950.9000000000015,4.85692875128214,0,8.60125501565774e-13,52285.4,0.0,15.008379620373127,29
PostgreSQL,30,864,45922.8,46122.2,69.69999999998981,0.0,0,4.449317747771376e-06,46089.2,173.64999999999418,0.07154905880465373,3,0.12218015412550592,46094.9,62.799999999995634,0.05919058501111316,0,0.001416288629417408,46097.9,88.09999999999854,0.052686125119781005,1,0.0018764520333022497,46039.0,99.64999999999418,0.1803903543196055,3,0.556196348818129,46040.7,59.599999999998545,0.1767044937145236,2
brotli,30,180,1.46,1.52,0.05400000000000005,0.0,4,2.2832535876466807e-09,1.514,0.04200000000000004,0.3947368421052635,5,8.015800125593856e-09,1.52,0.0605,0.0,3,6.837396060265515e-10,1.466,0.06000000000000005,3.5526315789473717,15,0.0003164407851043099,1.472,0.058499999999999996,3.157894736842108,14,0.00012482633732863616,1.46,0.0,3.947368421052635,26
spear,30,16384,0.0,0.00198609731877,0.0017378351539195,0.0,0,2.171797991859091e-08,0.00297914597815,0.0047169811320795,-49.999999999748255,0,1.6676698857918016e-08,0.00198609731877,0.001986097318766,0.0,2,2.2838397367802857e-06,0.00297914597815,0.00397219463754,-49.999999999748255,1,1.1195975186929266e-08,0.000993048659384,0.001986097318766,50.00000000005035,3,0.00013069333612463122,0.000993048659384,0.000993048659384,50.00000000005035,10
storm,30,1557,0.0,1.2936733924049999e-05,5.3789577894797496e-05,0.0,6,0.02323952683629148,1.49793761226e-05,0.00015081508232517248,-15.789473684332588,6,0.012123739330077005,1.566025685545e-05,0.00016511357771487,-21.052631579110127,7,0.02466490396976182,3.472491737515e-05,0.000596451521972305,-168.42105263210786,3,0.0001818778145049737,6.1279265956099995e-06,1.63411375883e-05,52.63157894731146,13,0.46649229769835354,2.72352293138e-06,1.2255853191212501e-05,78.9473684210445,11
x264,30,4608,21.556,23.393,2.1679999999999993,0.0,0,1.4244634335287197e-09,23.305,2.021999999999995,0.37618090881888155,0,1.304987312482732e-07,22.999,6.1995000000000005,1.6842645235754368,1,9.807135497801319e-07,22.869999999999997,1.0380000000000003,2.235711537639479,5,0.002988068130431916,22.396,1.163999999999998,4.26195870559569,2,0.005563176509501313,21.714,0.6460000000000008,7.177360748941999,4
