system,n_configs,n_features,best_possible,rs_median,rs_iqr,v2_median,v2_iqr,v3_median,v3_iqr,ts_median,ts_iqr,v2_improv_pct,v3_improv_pct,ts_improv_pct,p_v2_vs_rs,p_v3_vs_rs,p_ts_vs_rs,p_v3_vs_v2,p_ts_vs_v2,v2_hits_optimal,v3_hits_optimal,ts_hits_optimal
7z,68640,8,4196.4,4576.3,401.59999999999945,4499.200000000001,1312.8000000000002,4585.3,349.84999999999945,4536.0,4727.349999999999,1.6847671699844733,-0.1966654284028582,0.880624084959469,0.30239423512982966,0.5704090108242666,0.526523132717757,0.7564521630755251,0.5733222251343583,0,0,2
Apache,640,8,30.7448,31.0888,0.32720000000000127,30.7448,0.0,30.8186,0.07379999999999853,30.7448,0.0,1.106507809886511,0.8691232855562104,1.106507809886511,3.050037785710288e-10,0.00015960006352732061,3.050037785710288e-10,0.9999976944387009,1.0,30,14,30
LLVM,65536,16,52285.4,59141.5,3022.4000000000015,52285.4,1563.0499999999956,52285.4,2560.0,52285.4,0.0,11.592705629718553,11.592705629718553,11.592705629718553,3.3489334616863695e-11,2.7817705317859614e-10,6.058901985029879e-13,0.7789157526206056,7.269486150660258e-05,18,16,30
PostgreSQL,864,8,45922.8,46059.6,96.09999999999854,45980.8,95.19999999999709,46001.8,88.94999999999709,45939.8,58.0,0.17108268417440803,0.12548958306193633,0.26009778634637654,0.00042846513404874243,0.012186730973943096,3.723981164404985e-06,0.8920806625183526,0.013914406881288078,5,4,9
brotli,180,2,1.46,1.472,0.05400000000000005,1.46,0.0,1.46,0.0,1.46,0.0,0.8152173913043484,0.8152173913043484,0.8152173913043484,1.5363872208338335e-06,0.0005223768756031901,4.1116281635995336e-07,0.960889513933326,0.16685534787178302,29,25,30
spear,16384,14,0.0,0.000993048659384,0.0,0.0,0.000993048659384,0.000993048659384,0.000993048659386,0.0,0.0,100.0,0.0,100.0,0.001611344532233277,0.6123595090274199,2.5915391982058114e-09,0.9957117203981469,0.006157780974273557,16,4,25
storm,1557,12,0.0,0.0,4.08528439707e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015165567419753677,0.04515266143957189,0.00019211561309785813,0.8853484019267006,0.16920914312617202,27,24,29
x264,4608,10,21.556,22.759,0.8335000000000008,21.556,0.07049999999999912,22.19,0.8679999999999986,21.556,0.029999999999997584,5.285820993892523,2.5001098466540665,5.285820993892523,3.841885308808648e-07,0.0037976115961813276,7.826568857593144e-11,0.9999698628793013,0.48907726927342937,22,2,20
