System,Configs,Features,Optimal,RS Median,RS IQR,FLASH Median,FLASH IQR,Improv%,p-value,Sig
7z,68640,8,4196.4,4576.3,401.59999999999945,4673.8,429.9500000000007,-2.130542141030964,0.7633267213707753,No
Apache,640,8,30.7448,31.0888,0.32720000000000127,30.7448,0.07379999999999853,1.106507809886511,9.79830430082033e-05,Yes
LLVM,65536,16,52285.4,59141.5,3022.4000000000015,52285.4,0.0,11.592705629718553,2.601934910875525e-12,Yes
PostgreSQL,864,8,45922.8,46059.6,96.09999999999854,45939.8,107.94999999999709,0.26009778634637654,0.00011389536013316394,Yes
brotli,180,2,1.46,1.472,0.05400000000000005,1.46,0.0,0.8152173913043484,4.1116281635995336e-07,Yes
spear,16384,14,0.0,0.000993048659384,0.0,0.000993048659384,0.000993048659384,0.0,0.0005211308899844976,Yes
storm,1557,12,0.0,0.0,4.08528439707e-06,0.0,0.0,0.0,0.0003701234968563547,Yes
x264,4608,10,21.556,22.759,0.8335000000000008,21.586,0.09399999999999764,5.154005009007434,1.5129457915938012e-10,Yes
